Title,Authors,Subjects,Bookshelves,Read online (web)
"Essays of an Americanist
I. Ethnologic and Archæologic. II. Mythology and Folk Lore. III. Graphic Systems and Literature. IV. Linguistic.","Brinton, Daniel G. (Daniel Garrison)",America -- Antiquities ; Indians ; E011,Browsing: Archaeology; Browsing: Culture/Civilization/Society; Browsing: History - American,https://www.gutenberg.org/ebooks/58464.html.images
The Art of the Moving Picture,"Lindsay, Vachel",PN ; Motion pictures,Art; Browsing: Art & Photography; Browsing: Literature; Browsing: Performing Arts/Film,https://www.gutenberg.org/ebooks/13029.html.images
Sermons on Biblical Characters,"Chappell, Clovis Gillham","BS ; Sermons, American -- 20th century ; Bible -- Biography",Christianity; Browsing: Biographies; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/20578.html.images
"The Legendary and Poetical Remains of John Roby
author of 'Traditions of Lancashire', with a sketch of his literary life and character","Roby, John","Roby, John, 1793-1850 ; PR",Browsing: Biographies; Browsing: Literature,https://www.gutenberg.org/ebooks/37930.html.images
Elämän harha,"Liinamaa-Pärssinen, Hilja",PH ; Finnish poetry -- 20th century,Browsing: Culture/Civilization/Society; Browsing: Poetry,https://www.gutenberg.org/ebooks/74387.html.images
The Outspan: Tales of South Africa,"Fitzpatrick, Percy",South Africa -- Fiction ; Short stories ; PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/37260.html.images
The Wooden Hand: A Detective Story,"Hume, Fergus",Murder -- Investigation -- Fiction ; Detective and mystery stories ; PR,Browsing: Crime/Mystery; Browsing: Fiction,https://www.gutenberg.org/ebooks/55102.html.images
The Square Root of 7,"Nemiroff, Robert J. ; Bonnell, Jerry T.",Square root ; QA ; Mathematics,Mathematics; Browsing: Mathematics; Browsing: Science - General,
"Ralph on the Engine; Or, The Young Fireman of the Limited Mail","Chapman, Allen",Railroad stories ; PZ,Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/28292.html.images
"Heath's Modern Language Series: Tres Comedias
Sin querer; De pequenas causas...; Los intereses creados","Benavente, Jacinto",PQ ; Spanish drama ; Comedy plays,Browsing: Language & Communication; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/28106.html.images
Identity,"Smith, George O. (George Oliver)",Twins -- Fiction ; Treasure troves -- Fiction ; Science fiction ; PS ; Man-woman relationships -- Fiction ; Identity -- Fiction,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,https://www.gutenberg.org/ebooks/68002.html.images
